paragraph_index	status	original
222	dry_run	N_пал = n_сл · n_гр
223	dry_run	Q_уп = 3600 · N_пал / T_пал
249	dry_run	T_пал = t_п + Σ_{j=1}^{N_пал}(t_захв,j + t_пер,j + t_укл,j) + Σ_{k=1}^{n_сл-1}t_лист,k + t_отв
254	dry_run	F_{i,s} = {M_ср, M_max, σ_M, ω_ср, a_max, E}
255	dry_run	E_{i,s} = Σ |M_i(t) · ω_i(t)| · Δt
264	dry_run	D_raw → D_clean → F → HI → RUL → A_ТО
274	dry_run	K_з,i = M_max,i / M_доп,i
275	dry_run	L_i = Σ |M_i(t)| · Δt
301	dry_run	HI(t) = 1 - Σ_{j=1}^{p} w_j · f_j(t)
326	dry_run	HI(t) ≤ HI_кр или x_j(t) ≥ x_кр,j
328	dry_run	RUL_N = N_кр - N_тек
352	dry_run	C_Σ = C_ТО + P_отк · C_пр + C_инф
375	dry_run	S = {D, F, HI, RUL, A_ТО}
379	dry_run	MAE = (1/n) · Σ_{i=1}^{n}|RUL_i - RUL̂_i|
380	dry_run	RMSE = √[(1/n) · Σ_{i=1}^{n}(RUL_i - RUL̂_i)^2]
408	dry_run	d_k = {t_k, c_k, s_k, i, q_i, ω_i, a_i, M_i, event_k}
417	dry_run	x_norm = (x - x_min) / (x_max - x_min)
418	dry_run	F_W = {mean(x), max(x), std(x), rms(x), slope(x), E}
419	dry_run	slope(x) = [x(t_0 + Δt) - x(t_0)] / Δt
425	dry_run	V = N_s · N_p · f_s · b
427	dry_run	V_сут = V · T_см · K_зм
452	dry_run	R = Σ_{j=1}^{m} w_j · r_j
481	dry_run	RUL̂ = g(F, θ)
483	dry_run	K_пред = N_своевр / N_пред
491	dry_run	T_обн ≤ Δt_доп
492	dry_run	P_потерь ≤ P_доп
493	dry_run	K_готовн = T_работ / (T_работ + T_прост)
549	dry_run	K_готовн = T_работ / (T_работ + T_прост)
550	dry_run	ΔC_пр = C_пр,до - C_пр,после
551	dry_run	K_пред = N_своевр / N_пред
