run_id,scenario,phase,axis,synthetic_cycle,degradation_alpha,HI,RUL_actual,RUL_pred,risk,recommendation
long_live_01,S0,cycle_complete,motor1,1,0,1,80,77.3308676,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,2,0,1,80,77.847023,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,3,0,1,80,78.3341617,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,4,0,1,80,78.7787834,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,5,0,1,80,79.1685659,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,6,0,1,80,79.4927072,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,7,0,1,80,79.7422239,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,8,0,1,80,79.9102013,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,9,0,1,80,79.991984,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,10,0,1,80,79.9853055,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,11,0,1,80,79.8903509,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,12,0,1,80,79.7097518,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,13,0,1,80,79.4485131,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,14,0,1,80,79.1138748,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,15,0,1,80,78.7151109,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,16,0,1,80,78.2632724,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,17,0,1,80,77.7708815,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,18,0,1,80,77.251584,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,19,0,1,80,76.7197716,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,20,0,1,80,76.1901825,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,21,0,1,80,75.6774937,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,22,0,1,80,75.1959134,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,23,0,1,80,74.7587881,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,24,0,1,80,74.378232,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,25,0,1,80,74.0647917,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,26,0,1,80,73.8271536,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,27,0,1,80,73.6719036,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,28,0,1,80,73.6033443,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,29,0,1,80,73.6233755,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,30,0,1,80,73.7314423,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,31,0,1,80,73.9245497,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,32,0,1,80,74.1973459,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,33,0,1,80,74.542271,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,34,0,1,80,74.9497656,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,35,0,1,80,75.4085368,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,36,0,1,80,75.9058704,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,37,0,1,80,76.4279835,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,38,0,1,80,76.9604064,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,39,0,1,80,77.488384,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,40,0,1,80,77.9972839,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,41,0,1,80,78.4730029,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,42,0,1,80,78.9023571,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,43,0,1,80,79.2734475,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,44,0,1,80,79.57599,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,45,0,1,80,79.8015999,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,46,0,1,80,79.9440249,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,47,0,1,80,79.9993179,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,48,0,1,80,79.9659464,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,49,0,1,80,79.8448353,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,50,0,1,80,79.6393411,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,51,0,1,80,79.3551588,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,52,0,1,80,79.0001639,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,53,0,1,80,78.5841947,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,54,0,1,80,78.1187792,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,55,0,1,80,77.6168156,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,56,0,1,80,77.0922152,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,57,0,1,80,76.5595164,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,58,0,1,80,76.0334823,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,59,0,1,80,75.5286912,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,60,0,1,80,75.0591324,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,61,0,1,80,74.6378193,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,62,0,1,80,74.2764279,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,63,0,1,80,73.9849736,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,64,0,1,80,73.7715336,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,65,0,1,80,73.6420231,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,66,0,1,80,73.6000313,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,67,0,1,80,73.646722,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,68,0,1,80,73.7808012,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,69,0,1,80,73.998553,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,70,0,1,80,74.2939429,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,71,0,1,80,74.6587844,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,72,0,1,80,75.0829667,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,73,0,1,80,75.5547339,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,74,0,1,80,76.0610119,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,75,0,1,80,76.5877699,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,76,0,1,80,77.1204096,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,77,0,1,80,77.6441695,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,78,0,1,80,78.1445345,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,79,0,1,80,78.6076377,normal,continue_monitoring
long_live_01,S0,cycle_complete,motor1,80,0,1,80,79.0206449,normal,continue_monitoring
long_live_01,S1,cycle_complete,motor1,1,0.001,0.997777778,449,434.023939,normal,continue_monitoring
long_live_01,S1,cycle_complete,motor1,2,0.002,0.995555556,448,435.952218,normal,continue_monitoring
long_live_01,S1,cycle_complete,motor1,3,0.003,0.993333333,447,437.705462,normal,continue_monitoring
long_live_01,S1,cycle_complete,motor1,4,0.004,0.991111111,446,439.209495,normal,continue_monitoring
long_live_01,S1,cycle_complete,motor1,5,0.005,0.988888889,445,440.39737,normal,continue_monitoring
long_live_01,S1,cycle_complete,motor1,6,0.006,0.986666667,444,441.211191,normal,continue_monitoring
long_live_01,S1,cycle_complete,motor1,7,0.007,0.984444444,443,441.603676,normal,continue_monitoring
long_live_01,S1,cycle_complete,motor1,8,0.008,0.982222222,442,441.539418,normal,continue_monitoring
long_live_01,S1,cycle_complete,motor1,9,0.009,0.98,441,440.995812,normal,continue_monitoring
long_live_01,S1,cycle_complete,motor1,10,0.01,0.977777778,440,439.963625,normal,continue_monitoring
long_live_01,S1,cycle_complete,motor1,11,0.011,0.975555556,439,438.447189,normal,continue_monitoring
long_live_01,S1,cycle_complete,motor1,12,0.012,0.973333333,438,436.464224,normal,continue_monitoring
long_live_01,S1,cycle_complete,motor1,13,0.013,0.971111111,437,434.045281,normal,continue_monitoring
long_live_01,S1,cycle_complete,motor1,14,0.014,0.968888889,436,431.23284,normal,continue_monitoring
long_live_01,S1,cycle_complete,motor1,15,0.015,0.966666667,435,428.080082,normal,continue_monitoring
